Date,Platform,Content,Location
2024-07-12,TikTok,Gen Z rising again! Meet at Parliament for a strike. #YouthPower,Parliament
2024-06-23,Instagram,This government is corrupt. Gather on 23/06 at Parliament. #OneTermPresident,Parliament
2024-07-29,TikTok,#GenZRevolution – strike at Kisumu urgent,Kisumu
2024-06-27,X,#SaveKenya – march at Mombasa immediately,Mombasa
2024-07-03,X,They brutalized our people – happening urgent at Kisumu! #RejectFinanceBill2024,Kisumu
2024-06-12,TikTok,#SaveKenya – strike at Mombasa immediately,Mombasa
2024-07-22,Instagram,They brutalized our people – happening immediately at Parliament! #SaveKenya,Parliament
2024-07-29,TikTok,We are fed up – happening now! at Nairobi! #GenZRevolution,Nairobi
2024-06-29,TikTok,They brutalized our people. March on 29/06 at Uhuru Park. #RejectFinanceBill2024,Uhuru Park
2024-06-20,Instagram,This government is corrupt – happening act fast at Parliament! #SaveKenya,Parliament
2024-07-08,X,#SaveKenya – protest at Parliament act fast,Parliament
2024-06-05,X,#SaveKenya – boycott at Uhuru Park now!,Uhuru Park
2024-07-05,TikTok,No justice no peace – happening urgent at Parliament! #OneTermPresident,Parliament
2024-07-22,X,Gather on July 22 in Mombasa. This government is corrupt #RutoMustGo,Mombasa
2024-07-14,X,#GenZRevolution – protest at Mombasa immediately,Mombasa
2024-07-29,X,They brutalized our people – happening immediately at Nairobi! #GenZRevolution,Nairobi
2024-06-20,X,#OneTermPresident – strike at Kisumu urgent,Kisumu
2024-06-02,TikTok,We are fed up. Protest on 02/06 at Uhuru Park. #OccupyParliament,Uhuru Park
2024-07-20,TikTok,#KenyaProtests – protest at Mombasa now!,Mombasa
2024-07-12,X,Protest on July 12 in Uhuru Park. No justice no peace #OccupyParliament,Uhuru Park
2024-07-31,TikTok,They brutalized our people. March on 31/07 at Nairobi. #OccupyParliament,Nairobi
2024-06-19,X,They brutalized our people. March on 19/06 at Parliament. #RejectFinanceBill2024,Parliament
2024-07-10,X,#GenZRevolution – protest at Mombasa urgent,Mombasa
2024-06-27,Instagram,Gather on June 27 in Nairobi. This government is corrupt #KenyaProtests,Nairobi
2024-06-06,TikTok,They brutalized our people. Strike on 06/06 at Mombasa. #RejectFinanceBill2024,Mombasa
2024-07-15,TikTok,#YouthPower – protest at Parliament urgent,Parliament
2024-07-21,TikTok,Boycott on July 21 in Parliament. This government is corrupt #RutoMustGo,Parliament
2024-06-16,Instagram,Gen Z rising again! Meet at Mombasa for a gather. #SaveKenya,Mombasa
2024-06-18,X,We are fed up – happening act fast at Mombasa! #RejectFinanceBill2024,Mombasa
2024-06-18,TikTok,Gen Z rising again! Meet at Kisumu for a march. #RutoMustGo,Kisumu
2024-07-21,TikTok,This government is corrupt – happening now! at Parliament! #RejectFinanceBill2024,Parliament
2024-07-22,TikTok,We are fed up. Protest on 22/07 at Mombasa. #RutoMustGo,Mombasa
2024-06-26,Instagram,No justice no peace – happening now! at Uhuru Park! #OccupyParliament,Uhuru Park
2024-07-27,Instagram,We are fed up. Boycott on 27/07 at Nairobi. #SaveKenya,Nairobi
2024-06-30,Instagram,Protest on June 30 in Mombasa. They brutalized our people #RutoMustGo,Mombasa
2024-06-18,X,We are fed up. Boycott on 18/06 at Nairobi. #OccupyParliament,Nairobi
2024-06-27,TikTok,#OccupyParliament – strike at Nairobi urgent,Nairobi
2024-07-05,Instagram,This government is corrupt. Strike on 05/07 at Nairobi. #OneTermPresident,Nairobi
2024-07-04,X,This government is corrupt – happening immediately at Parliament! #RutoMustGo,Parliament
2024-07-22,X,They brutalized our people – happening act fast at Mombasa! #RutoMustGo,Mombasa
2024-07-10,TikTok,March on July 10 in Uhuru Park. This government is corrupt #GenZRevolution,Uhuru Park
2024-06-23,Instagram,We are fed up – happening immediately at Parliament! #OccupyParliament,Parliament
2024-06-08,Instagram,Gen Z rising again! Meet at Mombasa for a gather. #YouthPower,Mombasa
2024-07-03,X,We are fed up – happening urgent at Parliament! #YouthPower,Parliament
2024-07-28,Instagram,Gen Z rising again! Meet at Nairobi for a gather. #OccupyParliament,Nairobi
2024-06-24,TikTok,Protest on June 24 in Uhuru Park. They brutalized our people #OneTermPresident,Uhuru Park
2024-07-02,X,We are fed up – happening now! at Uhuru Park! #GenZRevolution,Uhuru Park
2024-07-15,TikTok,#RutoMustGo – gather at Nairobi now!,Nairobi
2024-06-03,TikTok,#OccupyParliament – strike at Uhuru Park immediately,Uhuru Park
2024-07-31,TikTok,Protest on July 31 in Nairobi. They brutalized our people #YouthPower,Nairobi
2024-07-24,X,#SaveKenya – protest at Kisumu act fast,Kisumu
2024-06-20,Instagram,#YouthPower – march at Kisumu act fast,Kisumu
2024-07-24,X,#GenZRevolution – gather at Uhuru Park now!,Uhuru Park
2024-06-01,X,Strike on June 01 in Kisumu. This government is corrupt #SaveKenya,Kisumu
2024-06-14,X,Gen Z rising again! Meet at Mombasa for a strike. #KenyaProtests,Mombasa
2024-06-11,X,No justice no peace – happening immediately at Uhuru Park! #OneTermPresident,Uhuru Park
2024-07-15,TikTok,#SaveKenya – gather at Mombasa act fast,Mombasa
2024-07-31,X,Boycott on July 31 in Uhuru Park. They brutalized our people #GenZRevolution,Uhuru Park
2024-06-19,TikTok,Gen Z rising again! Meet at Nairobi for a protest. #SaveKenya,Nairobi
2024-06-22,X,#KenyaProtests – march at Nairobi immediately,Nairobi
2024-07-13,TikTok,Strike on July 13 in Uhuru Park. We are fed up #RutoMustGo,Uhuru Park
2024-07-25,TikTok,Gen Z rising again! Meet at Kisumu for a march. #KenyaProtests,Kisumu
2024-07-26,X,March on July 26 in Parliament. They brutalized our people #SaveKenya,Parliament
2024-07-06,TikTok,This government is corrupt. Strike on 06/07 at Uhuru Park. #SaveKenya,Uhuru Park
2024-07-31,X,Protest on July 31 in Uhuru Park. No justice no peace #YouthPower,Uhuru Park
2024-06-01,X,#SaveKenya – boycott at Nairobi immediately,Nairobi
2024-07-25,X,Gen Z rising again! Meet at Mombasa for a boycott. #RejectFinanceBill2024,Mombasa
2024-07-27,TikTok,They brutalized our people – happening immediately at Mombasa! #GenZRevolution,Mombasa
2024-06-10,TikTok,They brutalized our people – happening act fast at Mombasa! #GenZRevolution,Mombasa
2024-06-16,TikTok,Protest on June 16 in Uhuru Park. We are fed up #RejectFinanceBill2024,Uhuru Park
2024-07-16,X,This government is corrupt – happening immediately at Uhuru Park! #YouthPower,Uhuru Park
2024-07-14,X,Protest on July 14 in Nairobi. This government is corrupt #OneTermPresident,Nairobi
2024-07-12,X,#KenyaProtests – strike at Nairobi immediately,Nairobi
2024-06-02,Instagram,#OneTermPresident – boycott at Kisumu urgent,Kisumu
2024-07-06,TikTok,We are fed up – happening immediately at Mombasa! #RutoMustGo,Mombasa
2024-06-09,X,This government is corrupt. Protest on 09/06 at Kisumu. #OccupyParliament,Kisumu
2024-06-27,Instagram,March on June 27 in Uhuru Park. They brutalized our people #OneTermPresident,Uhuru Park
2024-06-11,Instagram,We are fed up. March on 11/06 at Mombasa. #OccupyParliament,Mombasa
2024-07-11,X,Gen Z rising again! Meet at Kisumu for a strike. #RutoMustGo,Kisumu
2024-07-14,Instagram,#GenZRevolution – strike at Nairobi urgent,Nairobi
2024-06-02,X,They brutalized our people. Boycott on 02/06 at Parliament. #OneTermPresident,Parliament
2024-07-16,X,They brutalized our people. Protest on 16/07 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-07-21,TikTok,We are fed up – happening now! at Kisumu! #RejectFinanceBill2024,Kisumu
2024-06-03,Instagram,No justice no peace. March on 03/06 at Parliament. #GenZRevolution,Parliament
2024-07-17,X,Strike on July 17 in Nairobi. No justice no peace #OneTermPresident,Nairobi
2024-06-22,X,#OccupyParliament – strike at Kisumu now!,Kisumu
2024-06-24,X,This government is corrupt. March on 24/06 at Uhuru Park. #SaveKenya,Uhuru Park
2024-07-25,X,We are fed up – happening immediately at Kisumu! #OccupyParliament,Kisumu
2024-07-23,TikTok,Gen Z rising again! Meet at Parliament for a gather. #RejectFinanceBill2024,Parliament
2024-07-15,TikTok,#SaveKenya – protest at Nairobi immediately,Nairobi
2024-06-27,X,#RejectFinanceBill2024 – march at Parliament immediately,Parliament
2024-07-22,Instagram,We are fed up. Boycott on 22/07 at Kisumu. #GenZRevolution,Kisumu
2024-07-05,TikTok,They brutalized our people – happening urgent at Parliament! #YouthPower,Parliament
2024-07-19,TikTok,Gen Z rising again! Meet at Parliament for a boycott. #GenZRevolution,Parliament
2024-06-22,Instagram,No justice no peace. Strike on 22/06 at Uhuru Park. #SaveKenya,Uhuru Park
2024-06-12,X,#OccupyParliament – strike at Kisumu now!,Kisumu
2024-07-20,Instagram,Gen Z rising again! Meet at Nairobi for a boycott. #RejectFinanceBill2024,Nairobi
2024-06-03,X,Gen Z rising again! Meet at Uhuru Park for a protest. #GenZRevolution,Uhuru Park
2024-06-13,TikTok,This government is corrupt – happening immediately at Kisumu! #RejectFinanceBill2024,Kisumu
2024-07-31,Instagram,#SaveKenya – gather at Nairobi act fast,Nairobi
2024-07-24,TikTok,They brutalized our people. Gather on 24/07 at Nairobi. #KenyaProtests,Nairobi
2024-07-06,X,No justice no peace. March on 06/07 at Parliament. #GenZRevolution,Parliament
2024-07-01,Instagram,We are fed up. Gather on 01/07 at Uhuru Park. #RejectFinanceBill2024,Uhuru Park
2024-06-26,X,They brutalized our people – happening now! at Nairobi! #RejectFinanceBill2024,Nairobi
2024-07-05,X,#OneTermPresident – boycott at Parliament immediately,Parliament
2024-06-07,Instagram,Gen Z rising again! Meet at Kisumu for a strike. #OccupyParliament,Kisumu
2024-07-28,TikTok,This government is corrupt. Strike on 28/07 at Kisumu. #YouthPower,Kisumu
2024-07-30,TikTok,Gen Z rising again! Meet at Parliament for a gather. #SaveKenya,Parliament
2024-06-17,X,Gen Z rising again! Meet at Parliament for a strike. #YouthPower,Parliament
2024-07-22,Instagram,This government is corrupt – happening immediately at Nairobi! #RutoMustGo,Nairobi
2024-06-17,TikTok,They brutalized our people – happening immediately at Nairobi! #KenyaProtests,Nairobi
2024-06-02,Instagram,This government is corrupt – happening urgent at Nairobi! #OccupyParliament,Nairobi
2024-06-28,X,Gen Z rising again! Meet at Mombasa for a protest. #GenZRevolution,Mombasa
2024-06-23,TikTok,Gen Z rising again! Meet at Parliament for a protest. #KenyaProtests,Parliament
2024-07-04,Instagram,Gen Z rising again! Meet at Mombasa for a gather. #RejectFinanceBill2024,Mombasa
2024-06-18,X,We are fed up – happening now! at Kisumu! #SaveKenya,Kisumu
2024-06-24,Instagram,We are fed up. Gather on 24/06 at Nairobi. #YouthPower,Nairobi
2024-06-29,X,#RejectFinanceBill2024 – strike at Mombasa now!,Mombasa
2024-07-26,X,#KenyaProtests – strike at Kisumu act fast,Kisumu
2024-06-17,X,Gen Z rising again! Meet at Kisumu for a protest. #RejectFinanceBill2024,Kisumu
2024-07-22,X,#SaveKenya – gather at Nairobi urgent,Nairobi
2024-06-15,X,They brutalized our people – happening urgent at Parliament! #SaveKenya,Parliament
2024-07-25,Instagram,They brutalized our people. Strike on 25/07 at Mombasa. #SaveKenya,Mombasa
2024-06-17,Instagram,They brutalized our people. Gather on 17/06 at Nairobi. #OccupyParliament,Nairobi
2024-06-11,Instagram,Gen Z rising again! Meet at Parliament for a march. #YouthPower,Parliament
2024-07-05,Instagram,This government is corrupt – happening immediately at Nairobi! #GenZRevolution,Nairobi
2024-07-28,X,#KenyaProtests – gather at Parliament act fast,Parliament
2024-06-23,X,Gen Z rising again! Meet at Parliament for a boycott. #GenZRevolution,Parliament
2024-06-23,TikTok,They brutalized our people – happening now! at Kisumu! #YouthPower,Kisumu
2024-07-25,Instagram,Gen Z rising again! Meet at Mombasa for a march. #OccupyParliament,Mombasa
2024-06-25,Instagram,Gen Z rising again! Meet at Mombasa for a strike. #GenZRevolution,Mombasa
2024-07-23,X,March on July 23 in Parliament. We are fed up #GenZRevolution,Parliament
2024-07-02,X,#RutoMustGo – gather at Nairobi urgent,Nairobi
2024-07-24,TikTok,Gen Z rising again! Meet at Kisumu for a gather. #SaveKenya,Kisumu
